1692470455111;100;2
1692470455121;200;13
1692470455131;300;23
1692470455141;400;34
1692470455151;500;44
1692470455161;600;55
1692470455171;700;65
1692470455181;800;76
1692470455191;900;86
1692470455201;1000;96
1692470455211;100;107
1692470455221;200;117
1692470455231;300;127
1692470455241;400;137
1692470455251;500;148
1692470455261;600;158
1692470455271;700;168
1692470455281;800;178
1692470455291;900;188
1692470455301;1000;198
1692470455311;100;208
1692470455321;200;219
1692470455331;300;229
1692470455341;400;239
1692470455351;500;250
1692470455361;600;260
1692470455371;700;271
1692470455381;800;281
1692470455391;900;292
1692470455401;1000;302
1692470455411;100;312
1692470455421;200;323
1692470455431;300;333
1692470455441;400;343
1692470455451;500;354
1692470455461;600;364
1692470455471;700;375
1692470455481;800;385
1692470455491;900;396
1692470455501;1000;406
1692470455511;100;416
1692470455521;200;427
1692470455531;300;437
1692470455541;400;448
1692470455551;500;458
1692470455561;600;469
1692470455571;700;479
1692470455581;800;490
1692470455591;900;500
1692470455601;1000;511
1692470455611;100;521
1692470455621;200;532
1692470455631;300;542
1692470455641;400;553
1692470455651;500;564
1692470455661;600;574
1692470455671;700;585
1692470455681;800;595
1692470455691;900;606
1692470455701;1000;617
1692470455711;100;627
1692470455721;200;638
1692470455731;300;649
1692470455741;400;659
1692470455751;500;670
1692470455761;600;680
1692470455771;700;690
1692470455781;800;701
1692470455791;900;712
1692470455801;1000;722
1692470455811;100;733
1692470455821;200;743
1692470455831;300;753
1692470455841;400;764
1692470455851;500;774
1692470455861;600;785
1692470455871;700;796
1692470455881;800;806
1692470455891;900;817
1692470455901;1000;827
1692470455911;100;838
1692470455921;200;849
1692470455931;300;859
1692470455941;400;869
1692470455951;500;880
1692470455961;600;891
1692470455971;700;901
1692470455981;800;911
1692470455991;900;921
1692470456001;1000;932
1692470456011;100;942
1692470456021;200;953
1692470456031;300;963
1692470456041;400;974
1692470456051;500;985
1692470456061;600;995
1692470456071;700;1005
1692470456081;800;1016
1692470456091;900;1027
1692470456101;1000;1037
